,Caso X,D,L,Beta,Velocidad,Angulo,A,B,Q,Reynolds,TotalAreaInlet,P
53,Caso 18,0.055,1.3,1.0,0.20485748794624384,145,-147124961.5286646,2276185778194.6665,6.421528587103948e-05,-1226.8515664902702,0.00031298876267923,90.991304891654
54,Caso 18,0.055,1.3,1.0,0.20522465470711676,-145,-188459096.48411435,2915737552758.774,6.431857650054934e-05,-1229.050456656581,0.00031298876267923,83.17345180899478
55,Caso 18,0.055,1.3,1.0,0.2049735429971113,170,-99397639.79772201,1541329091654.9963,6.422455212523713e-05,-1227.5465975695988,0.00031298876267923,41.54442301018192
56,Caso 18,0.055,1.3,1.0,0.20548606569491396,-170,-127357206.42673326,1971540980136.0298,6.442569713263207e-05,-1230.615996110823,0.00031298876267923,48.819086940286944
57,Caso 19,0.08,0.9,0.2,0.20541430659553253,0,-446405626.019268,6943912124551.078,6.436272736889698e-05,-1230.1804047713115,0.00031298579097466033,22.59570419642833
58,Caso 19,0.08,0.9,0.2,0.20471849768797293,-120,-125002357.93205957,1922999444710.3264,6.416464800960205e-05,-1226.0191809241087,0.00031298876267923,135.45882863601022
59,Caso 19,0.08,0.9,0.2,0.2056931250476166,145,-1463057760.2058108,22738970875964.42,6.443480675422872e-05,-1231.8560342161734,0.00031298876267923,91.19920555428048
60,Caso 19,0.08,0.9,0.2,0.2053881826556931,-145,55375590.34067674,-883161380180.2474,6.440007746876711e-05,-1230.029793667335,0.00031298876267923,84.84809657324993
61,Caso 19,0.08,0.9,0.2,0.2048066128702216,170,66679135.15210822,-1050407077486.9111,6.413841064604888e-05,-1226.5468855760457,0.00031298876267923,24.853885536029388
62,Caso 19,0.08,0.9,0.2,0.20486698529966244,-170,49049488.66628294,-774887857828.4437,6.412614056404156e-05,-1226.908444288763,0.00031298876267923,27.862911398285128
63,Caso 1,0.04,0.9,0.2,0.20533199388957812,-120,4852639.9957230715,-104447829250.80463,6.432683272877728e-05,-1229.6932900988375,0.00031298876267923,116.41233683423629
64,Caso 1,0.04,0.9,0.2,0.20541366290800026,145,-28644865.42186621,427359996181.02423,6.425222518462599e-05,-1230.1823899320407,0.00031298876267923,82.08857998387863
65,Caso 1,0.04,0.9,0.2,0.20504133608740738,-145,-40636426.84797462,614960148212.0055,6.422605720640593e-05,-1227.9525971738155,0.00031298876267923,82.64660255037987
66,Caso 1,0.04,0.9,0.2,0.2049370196165705,170,-50338304.04901777,777603886027.0166,6.412582973334964e-05,-1227.3278661623206,0.00031298876267923,24.92691637824225
67,Caso 1,0.04,0.9,0.2,0.20515782339125205,-170,-114758456.68064229,1780705389918.6853,6.429200353401997e-05,-1228.6502169319745,0.00031298876267923,30.1051547373354
68,Caso 2,0.04,1.1,0.2,0.21310256260226937,0,-353946471.6009843,5293077374736.14,6.686894312625701e-05,-1277.5196384581668,0.0003136217782787035,22.147460555975634
69,Caso 20,0.08,1.1,0.2,0.21290294824152417,0,37282039.23013241,-564028798164.0182,6.680845376224572e-05,-1276.32297867681,0.0003136217782787035,22.023173790428984
70,Caso 20,0.08,1.1,0.2,0.2124835183924014,120,-24289121.28644114,334081665004.4743,6.672041986525455e-05,-1273.8086042496225,0.0003136218019297123,134.7726760676077
71,Caso 20,0.08,1.1,0.2,0.20508312404103443,-120,-217841483.08478305,3369580246383.6855,6.42330942117544e-05,-1228.2028570831885,0.00031298876267923,132.99178086725064
72,Caso 20,0.08,1.1,0.2,0.2048675957965032,145,-181663700.0319459,2815689179096.3916,6.421324140490849e-05,-1226.9121004353503,0.00031298876267923,93.2732393011215
73,Caso 20,0.08,1.1,0.2,0.20544387692616822,170,-427320830.1952041,6644075663491.955,6.435157050103916e-05,-1230.3633357978274,0.00031298876267923,30.833436070971345
74,Caso 20,0.08,1.1,0.2,0.20487246602834558,-170,-31320224.126042247,479321212338.8887,6.412211476992666e-05,-1226.9412673045963,0.00031298876267923,36.87958994100259
75,Caso 21,0.08,1.3,0.2,0.21261556282926283,0,96562469.30791233,-1453616370719.5476,6.666842061639826e-05,-1274.599974371127,0.00031362169485667517,21.284037789693073
76,Caso 21,0.08,1.3,0.2,0.20510997234586625,-120,-1289906476.9744833,20083660381895.297,6.430962028325145e-05,-1228.363646347817,0.00031298876267923,127.61507555060855
77,Caso 21,0.08,1.3,0.2,0.20488638500885073,145,-1023486848.9155493,15957998231735.668,6.42419029640668e-05,-1227.02462536589,0.00031298876267923,94.93027352832458
78,Caso 21,0.08,1.3,0.2,0.20491878582552822,-145,-414088996.46959805,6445406644939.208,6.424138401406147e-05,-1227.2186675417208,0.00031298876267923,97.12558152003812
79,Caso 21,0.08,1.3,0.2,0.20509403706966522,170,-26204815.654236693,398799661211.7349,6.42481266317838e-05,-1228.2682130845972,0.00031298876267923,38.362085676989665
80,Caso 21,0.08,1.3,0.2,0.20491107469209324,-170,-26071142.13876219,396977544868.9309,6.423907210437909e-05,-1227.1724870665576,0.00031298876267923,40.08573058527342
81,Caso 22,0.08,0.9,0.6,0.211763514672623,0,-428791850.25100446,6453383697839.279,6.646199010299513e-05,-1269.4922360371422,0.00031362177827870335,22.769577134757775
82,Caso 22,0.08,0.9,0.6,0.20528619288467315,-120,-71393909.30392249,1081273957564.595,6.437155407442214e-05,-1229.418996807546,0.00031298876267923,135.57621520902163
83,Caso 22,0.08,0.9,0.6,0.2054198753398891,145,166803145.8055383,-2617628390634.1797,6.433806279465983e-05,-1230.2195949757563,0.00031298876267923,84.48008146438522
84,Caso 22,0.08,0.9,0.6,0.20553499686701412,-145,95208274.84546186,-1503396233617.98,6.444015210973968e-05,-1230.9090353633449,0.00031298876267923,88.03775567128658
85,Caso 22,0.08,0.9,0.6,0.20505384143216107,170,132474279.96663669,-2075600625292.597,6.424624922560384e-05,-1228.027489246126,0.00031298876267923,29.187666782849973
86,Caso 22,0.08,0.9,0.6,0.20489421486002238,-170,-212429719.5476954,3306418510896.927,6.426305792939654e-05,-1227.0715168184388,0.00031298876267923,27.641362578212483
87,Caso 23,0.08,1.1,0.6,0.2050025237097607,0,-2222007.715869362,26067815050.430996,6.424535733663755e-05,-1227.7144619368414,0.0003129858587362686,23.541055923957206
88,Caso 23,0.08,1.1,0.6,0.20502778074248074,-120,41856526.1155109,-684009319312.9475,6.427673500650757e-05,-1227.8714168551253,0.00031298876267923,118.21210046903977
89,Caso 23,0.08,1.1,0.6,0.20509317045902542,145,-281944675.7046455,4377845087792.247,6.429787300158927e-05,-1228.2630231223868,0.00031298876267923,97.3481747701152
90,Caso 23,0.08,1.1,0.6,0.20498058543364472,-145,123519967.26416098,-1949424097419.822,6.422208056175925e-05,-1227.5887733493548,0.00031298876267923,82.38119308221052
91,Caso 23,0.08,1.1,0.6,0.20518731313691912,170,-31563660.523654547,482907257725.78625,6.431373235584198e-05,-1228.8268252709213,0.00031298876267923,29.818229350347888
92,Caso 23,0.08,1.1,0.6,0.20510993496182975,-170,-43078669.00171362,661665685711.4326,6.427047887284064e-05,-1228.363422462109,0.00031298876267923,48.901000306330054
93,Caso 24,0.08,1.3,0.6,0.20500473180912962,0,-262655113.47208586,4091654525554.139,6.42373419907629e-05,-1227.7276857522345,0.0003129858587362686,21.07467704912845
94,Caso 24,0.08,1.3,0.6,0.20555010426695905,-120,-180065523.27845767,2773840405060.172,6.436513571863883e-05,-1230.9995106370284,0.00031298876267923,117.12064017969888
95,Caso 24,0.08,1.3,0.6,0.20475386557170042,145,-69093711.3284673,1058089268441.0852,6.413121939423452e-05,-1226.2309922861905,0.00031298876267923,95.6414235236155
96,Caso 24,0.08,1.3,0.6,0.20478336406597614,-145,-307159084.702869,4779564674760.969,6.413922665777396e-05,-1226.4076530188495,0.00031298876267923,99.54416170455406
97,Caso 24,0.08,1.3,0.6,0.2046439490196388,170,5491879.927582962,-96099383588.01564,6.410594708646776e-05,-1225.5727234797537,0.00031298876267923,42.00231233639601
98,Caso 24,0.08,1.3,0.6,0.2048837722806268,-170,-75056538.24222061,1162831848780.5647,6.416031034413553e-05,-1227.0089782458042,0.00031298876267923,41.77995538960621
99,Caso 25,0.08,0.9,1.0,0.20529991110162213,0,68016724.69621947,-1069600595884.695,6.432736811989116e-05,-1229.4954488007047,0.0003129858587362685,26.68841109831193
100,Caso 25,0.08,0.9,1.0,0.2049975525487767,-120,-255266646.83925432,3949452205987.357,6.427730395493255e-05,-1227.690386094816,0.00031298876267923,143.75616012116072
101,Caso 25,0.08,0.9,1.0,0.20508073511685385,145,102242563.0365524,-1614771868183.1677,6.428933968587353e-05,-1228.1885502818966,0.00031298876267923,84.48790095797477
102,Caso 25,0.08,0.9,1.0,0.20503140288384472,-145,11687846.365169121,-204123172232.7636,6.429573038984589e-05,-1227.8931091537618,0.00031298876267923,96.68231049268479
103,Caso 25,0.08,0.9,1.0,0.20497812019838893,170,70249237.38664597,-1106224778922.6357,6.425874413684248e-05,-1227.5740095359074,0.00031298876267923,34.13214646548081
104,Caso 25,0.08,0.9,1.0,0.20479266653390005,-170,-77511697.67481622,1200959011981.814,6.418890184792768e-05,-1226.4633636860997,0.00031298876267923,33.28138469369975
105,Caso 26,0.08,1.1,1.0,0.20492836823840374,0,-106450507.09500211,1652949602374.2397,6.427812536636162e-05,-1227.270361332765,0.0003129858587362685,31.602955007475128
106,Caso 26,0.08,1.1,1.0,0.20527997383194513,-120,163373524.39170894,-2577257051082.7305,6.435378940524884e-05,-1229.3817521129147,0.00031298876267923,121.24140253856338
